BUTTON	44.66	4.91	90.00	CFPA	CFPA
C1	59.10	53.70	180.00	100nF	C0402
C10	100.62	60.59	90.00	4.7uF	C0603
C11	89.30	60.79	90.00	4.7uF	C0603
C12	86.36	60.79	90.00	100nF	C0402
C13	57.90	62.10	90.00	100nF	C0402
C14	46.90	53.70	180.00	100nF	C0402
C15	45.50	62.10	90.00	100nF	C0402
C16	34.30	53.70	180.00	100nF	C0402
C17	33.10	62.10	90.00	100nF	C0402
C18	21.20	53.70	180.00	100nF	C0402
C19	20.50	62.10	90.00	100nF	C0402
C2	119.89	74.06	90.00	4.7nF	C0402
C20	10.00	53.70	180.00	100nF	C0402
C21	8.10	62.10	90.00	100nF	C0402
C22	47.20	17.20	0.00	100nF	C0402
C23	103.04	72.39	90.00	4.7uF	C0603
C24	94.81	72.39	90.00	4.7uF	C0603
C25	71.30	53.70	180.00	100nF	C0402
C26	70.50	62.10	90.00	100nF	C0402
C27	55.70	30.00	0.00	100nF	C0402
C28	41.50	39.50	90.00	100nF	C0402
C29	31.30	25.70	180.00	330nF	C0402
C3	107.29	53.86	90.00	100nF	C0402
C30	35.50	16.16	0.00	100nF	C0402
C31	43.00	16.00	180.00	100nF	C0402
C32	29.60	33.20	180.00	100nF	C0402
C33	84.30	60.80	90.00	10nF	C0402
C34	97.80	60.60	90.00	10nF	C0402
C35	45.40	50.20	180.00	100nF	C0402
C36	38.50	50.20	0.00	100nF	C0402
C37	29.50	49.10	180.00	100nF	C0402
C38	28.00	22.00	180.00	100nF	C0402
C4	110.13	67.46	90.00	47pF	C0402
C40	10.16	23.16	270.00	330pF	C0402
C41	77.40	41.80	270.00	100nF	C0402
C42	80.20	41.80	270.00	100nF	C0402
C5	107.29	58.52	270.00	100nF	C0402
C6	117.04	67.46	90.00	47pF	C0402
C62	47.60	12.31	270.00	100nF	C0402
C7	107.29	62.18	90.00	100nF	C0402
C8	104.45	60.15	90.00	4.7uF	C0603
C9	120.50	55.88	0.00	100nF	C0402
CLKIN	86.75	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
CLKOUT0	74.25	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
CLKOUT1	61.75	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
CLKOUT2	49.25	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
CLKOUT3	36.75	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
CLKOUT4	24.25	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
CLKOUT5	11.75	72.50	270.00	CLCK_JACK	35RASMT2BHNTRX
D1	82.20	44.80	270.00	DNI	SOD3715X135
D2	74.60	44.80	270.00	DNI	SOD3715X135
F1	57.20	39.00	0.00	330 Ohms @ 100MHz	R0603
IC1	88.20	42.60	270.00	MCP73831	TSOT23-5
IC10	35.73	12.83	0.00	SN74LVC1G125DBVT	SOT23-5
IC11	98.86	72.32	90.00	TLV70033DDCR	TSOT23-5
IC12	75.20	59.00	0.00	SI8621BC	SOIC8
IC13	62.60	59.00	0.00	SI8621BC	SOIC8
IC14	50.20	59.00	0.00	SI8621BC	SOIC8
IC15	37.60	59.00	0.00	SI8621BC	SOIC8
IC16	25.00	59.00	0.00	SI8621BC	SOIC8
IC17	12.60	59.00	0.00	SI8621BC	SOIC8
IC18	46.95	45.23	0.00	SN74LVC1G125DBVT	SOT23-5
IC19	38.76	45.23	0.00	SN74LVC1G125DBVT	SOT23-5
IC2	113.39	67.46	180.00	USBLC6-2SC6	SOT23-6L
IC3	113.39	58.12	90.00	FTDI232	SSOP28
IC4	78.40	47.80	270.00	TPS2114	TSSOP8
IC5	92.96	60.79	90.00	TLV70033DDCR	TSOT23-5
IC6	44.00	28.00	90.00	ATXMEGA16A4U-AU	QFP80P1200X1200X120-44N
IC7	29.50	46.50	270.00	M74VHC1GT126DF1G	SC70-5
IC8	28.00	18.50	270.00	M74VHC1GT126DF1G	SC70-5
IC9	43.00	13.31	270.00	M74VHC1GT126DF1G	SC70-5
L1	104.45	54.05	270.00	40R@100MHz	R0805
OSC1	31.40	29.10	0.00	OSC 32MHZ	OSCILLATOR_3.2X2.5
Q1	67.60	47.00	270.00	RTU002P02T106	SOT323
Q2	61.00	47.00	0.00	BC817-40W	SOT323-BEC
Q3	66.00	36.00	270.00	SBC817	SOT23-BEC
Q4	93.10	37.30	270.00	DMG1012UW	SOT323
Q5	93.10	41.60	90.00	DMP2035U-7	SOT323
R1	119.89	78.12	270.00	1M	R0402
R10	43.00	10.13	0.00	100R	R0603
R11	29.50	43.10	0.00	100R	R0603
R12	28.00	15.00	0.00	100R	R0603
R13	88.90	46.40	0.00	4k5	R0402
R14	62.00	36.00	90.00	1k	R0402
R15	75.00	35.60	180.00	20R	R2512
R16	36.39	9.27	0.00	10k	R0402
R17	96.70	41.60	90.00	4k5	R0402
R18	119.84	59.03	90.00	10k	R0402
R19	90.10	37.30	90.00	4k5	R0402
R2	94.52	68.46	180.00	10R	R0402
R20	77.40	52.80	0.00	0R	R0402
R21	83.24	23.98	0.00	1k	R0402
R22	91.37	23.98	0.00	1k	R0402
R23	99.50	23.98	0.00	1k	R0402
R24	107.70	23.98	0.00	1k	R0402
R25	115.82	23.98	0.00	1k	R0402
R26	83.40	50.80	180.00	DNI	R0402
R27	87.30	23.98	0.00	1k	R0402
R28	95.43	23.98	0.00	1k	R0402
R29	103.56	23.98	0.00	1k	R0402
R3	93.69	65.68	270.00	10k	R0402
R30	111.76	23.98	0.00	1k	R0402
R31	119.89	23.98	0.00	1k	R0402
R33	87.30	13.26	180.00	330R	R0402
R34	91.37	17.48	0.00	330R	R0402
R35	99.50	17.48	0.00	330R	R0402
R36	107.70	17.48	0.00	330R	R0402
R37	115.82	17.48	0.00	330R	R0402
R4	69.00	43.00	180.00	51k 0.1%	R0402
R40	87.30	17.48	0.00	330R	R0402
R41	95.43	17.48	0.00	330R	R0402
R42	103.56	17.48	0.00	330R	R0402
R44	111.76	17.48	0.00	330R	R0402
R45	119.89	17.48	0.00	330R	R0402
R48	51.06	17.17	180.00	100k	R0402
R5	65.00	43.00	180.00	14k7	R0402
R50	7.32	23.16	270.00	10k	R0402
R54	43.43	44.60	90.00	10k	R0402
R55	35.45	45.00	90.00	10k	R0402
R6	58.00	47.00	90.00	14k7	R0402
R7	64.30	47.00	90.00	10k	R0402
R9	49.99	12.26	90.00	10k	R0402
R_I_MAX	75.00	50.80	180.00	1k	R0402
T1	83.24	20.73	180.00	BC850	SOT23
T10	119.89	20.73	180.00	BC850	SOT23
T2	87.30	20.73	180.00	BC850	SOT23
T3	91.37	20.73	180.00	BC850	SOT23
T4	95.43	20.73	180.00	BC850	SOT23
T5	99.50	20.73	180.00	BC850	SOT23
T6	103.56	20.73	180.00	BC850	SOT23
T7	107.70	20.73	180.00	BC850	SOT23
T8	111.76	20.73	180.00	BC850	SOT23
T9	115.82	20.73	180.00	BC850	SOT23
USB	112.98	73.20	180.00	mini USB	240-0002-1
